Field of View,Cell ID,X,Y,Region
2,52,1474.1,692.95,Cortex
2,53,876.46,1435.8,Cortex
2,54,1734.5,1490.7,Cortex
2,55,1652.8,1624.6,Cortex
2,56,1371.3,1629.1,Cortex
2,57,707.72,154.95,Cortex
2,58,520.95,164.22,Cortex
2,59,623.17,186.34,Cortex
2,60,1818.8,303.04,Cortex
2,61,551.91,318.44,Cortex
2,62,633.05,351.02,Cortex
2,63,1820.3,432.8,Cortex
2,64,703.15,435.75,Cortex
2,65,573.52,448.74,Cortex
2,66,539.39,579.98,Cortex
2,67,420.87,649.9,Cortex
2,68,325.13,651.95,Cortex
2,69,1042.1,767.07,Cortex
2,70,300.32,799.03,Cortex
2,71,713.42,822.36,Cortex
2,72,756.36,882.69,Cortex
2,73,414.39,898.37,Cortex
2,74,257.98,941.94,Cortex
2,75,1904.6,1174.7,Cortex
2,76,1273.9,1232.8,Cortex
2,77,1803.1,1234.4,Cortex
2,78,174.8,1240,Cortex
2,79,1936,1321,Cortex
2,80,695.89,1485.6,Cortex
2,81,602.98,1502.4,Cortex
2,82,212.18,1495.6,Cortex
2,83,355.41,1509.6,Cortex
2,84,496.92,1581.6,Cortex
2,85,644.44,1678.4,Cortex
2,86,374.85,1718.7,Cortex
2,87,546.78,1820.3,Cortex
2,88,411.24,1829.3,Cortex
2,89,1202.5,1199.5,Cortex
2,90,1411.1,1282.3,Cortex
3,1,734.12,173.2,Cortex
3,2,1601.5,187.76,Cortex
3,3,1495.3,205.83,Cortex
3,4,1033.3,286.35,Cortex
3,5,723.27,295.67,Cortex
3,6,863.07,291.82,Cortex
3,7,1135.9,326.69,Cortex
3,8,1297.7,352.94,Cortex
3,9,701.05,402.96,Cortex
3,10,854.93,417.8,Cortex
3,11,352.2,411.06,Cortex
3,12,995.24,439.72,Cortex
3,13,1091.3,451.51,Cortex
3,14,1468.1,459.06,Cortex
3,15,1285.5,526.38,Cortex
3,16,1700.8,538.11,Cortex
3,17,653.28,565.94,Cortex
3,18,726.66,605.62,Cortex
3,19,1234,592.7,Cortex
3,20,877.47,601.13,Cortex
3,21,432.99,647.71,Cortex
3,22,1599.6,640.47,Cortex
3,23,1184,657.09,Cortex
3,24,1715.2,652.71,Cortex
3,25,966.9,695.14,Cortex
3,26,856.05,704.98,Cortex
3,27,716.81,720.39,Cortex
3,28,1873.1,727.22,Cortex
3,29,366.31,731.25,Cortex
3,30,1698,741.69,Cortex
3,31,1441.5,790.49,Cortex
3,32,985.08,766.92,Cortex
3,33,1559.7,768.01,Cortex
3,34,482.59,770.78,Cortex
3,35,859.35,781.87,Cortex
3,36,1768.8,803.16,Cortex
3,37,1052.8,811.34,Cortex
3,38,469.33,821.01,Cortex
3,39,1909.7,851.54,Cortex
3,40,699.51,869.09,Cortex
3,41,993.52,885.85,Cortex
3,42,475.36,880.24,Cortex
3,43,1725.6,893.95,Cortex
3,44,775.74,912.61,Cortex
3,45,914.75,902.99,Cortex
3,46,1374.1,897.6,Cortex
3,47,847.67,928.91,Cortex
3,48,1124.1,915.51,Cortex
3,49,499,934.52,Cortex
3,50,336.15,925.75,Cortex
3,51,1539.6,947.81,Cortex
3,52,1473.9,1010.6,Cortex
3,53,904.01,1039.9,Cortex
3,54,520.84,1054.7,Cortex
3,55,413.05,1088.1,Cortex
3,56,1345.6,1088.2,Cortex
3,57,1487.5,1109.4,Cortex
3,58,1010.8,1121.2,Cortex
3,59,271.68,1131,Cortex
3,60,475.72,1146.1,Cortex
3,61,1259.8,1137.3,Cortex
3,62,580.9,1156,Cortex
3,63,1083.2,1176.6,Cortex
3,64,1612.4,1171.4,Cortex
3,65,748.67,1163.3,Cortex
3,66,1758.6,1203.5,Cortex
3,67,894.31,1208.5,Cortex
3,68,1354,1217.6,Cortex
3,69,1227.8,1268.2,Cortex
3,70,536.66,1276.8,Cortex
3,71,1534.4,1322.1,Cortex
3,72,784.88,1319.8,Cortex
3,73,432.49,1328.1,Cortex
3,74,1147.6,1353.1,Cortex
3,75,303.16,1387.8,Cortex
3,76,808.9,1434,Cortex
3,77,1609.4,1457.8,Cortex
3,78,1101.1,1462.9,Cortex
3,79,972.21,1479.9,Cortex
3,80,1185.6,1503.2,Cortex
3,81,1413.4,1511.1,Cortex
3,82,1297.3,1513,Cortex
3,83,762.65,1521.3,Cortex
3,84,430.62,1531.7,Cortex
3,85,1702.9,1550.5,Cortex
3,86,592.77,1558.2,Cortex
3,87,1867,1560,Cortex
3,88,1413.6,1582.4,Cortex
3,89,1781.4,1601.5,Cortex
3,90,1137.3,1593.3,Cortex
3,91,422.92,1624.4,Cortex
3,92,1050.7,1631.9,Cortex
3,93,1219.8,1647.5,Cortex
3,94,843.53,1672.9,Cortex
3,95,1895.4,1682.8,Cortex
3,96,447.82,1730.5,Cortex
3,97,538.71,1731.2,Cortex
3,98,1185.9,1740.7,Cortex
3,99,972.19,1767.1,Cortex
3,100,325.14,1766.7,Cortex
3,101,1581.5,1739,Cortex
3,102,1802.9,1776.8,Cortex
3,103,1108.7,1832.8,Cortex
3,104,1596.6,493.4,Cortex
3,105,1298.9,646.27,Cortex
3,106,1352.2,718.58,Cortex
4,1,1008.4,250.45,Cortex
4,2,1253.3,272.22,Cortex
4,3,828.07,300.14,Cortex
4,4,1175.3,314.15,Cortex
4,5,1496.1,341.25,Cortex
4,6,787.84,407.41,Cortex
4,7,637.7,403.88,Cortex
4,8,1535.8,411.86,Cortex
4,9,1049.9,442.5,Cortex
4,10,856.5,483.83,Cortex
4,11,1431.2,506.98,Cortex
4,12,1365.5,553.75,Cortex
4,13,1669.5,541.34,Cortex
4,14,649.07,568.45,Cortex
4,15,1457.3,591.01,Cortex
